App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,US,Basic,desktop,tidio,broad,active,1.2,76,3,0.039473,2,0.666666,1.2,1.8,3.6,3.605263,0.562962,1,79.96,22.211111,3.6,0.5
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,tidio,broad,active,1.2,54,1,0.018518,0,0.0,1.2,0.0,1.2,2.129629,0.885245,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,luna chat,broad,active,1.9,36,2,0.055555,0,0.0,1.45,0.0,2.9,3.0,0.096514,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,FR,Basic,desktop,tidio,broad,active,1.2,34,0,0.0,0,0.0,0.0,0.0,0.0,3.823529,0.693877,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,GB,Basic,desktop,tidio,broad,active,1.2,29,1,0.034482,1,1.0,1.2,1.2,1.2,3.586206,0.763157,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,PK,Basic,desktop,luna chat,broad,active,1.9,27,1,0.037037,0,0.0,1.9,0.0,1.9,4.111111,0.048648,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,AU,Basic,desktop,tidio,broad,active,1.2,26,0,0.0,0,0.0,0.0,0.0,0.0,3.615384,0.8125,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,NL,Basic,desktop,tidio,broad,active,1.2,25,1,0.04,0,0.0,1.2,0.0,1.2,2.88,0.892857,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,IT,Basic,desktop,tidio,broad,active,1.2,25,2,0.08,1,0.5,1.2,2.4,2.4,3.72,0.78125,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,gorgias,broad,active,2.3,24,0,0.0,0,0.0,0.0,0.0,0.0,3.166666,0.648648,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,chaty,broad,active,1.0,22,1,0.045454,0,0.0,1.0,0.0,1.0,1.636363,0.916666,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,BR,Basic,desktop,luna chat,broad,active,1.9,22,0,0.0,0,0.0,0.0,0.0,0.0,3.363636,0.158273,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,DE,Basic,desktop,tidio,broad,active,1.2,20,1,0.05,1,1.0,1.2,1.2,1.2,3.15,0.90909,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,FR,Basic,desktop,lunachat,broad,active,0.8,18,1,0.055555,1,1.0,0.8,0.8,0.8,3.333333,0.391304,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,ES,Basic,desktop,tidio,broad,active,1.2,18,0,0.0,0,0.0,0.0,0.0,0.0,2.611111,0.818181,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,US,Grow,desktop,tidio,broad,active,1.2,17,1,0.058823,0,0.0,1.2,0.0,1.2,3.823529,0.261538,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,PK,Basic,desktop,chaty,broad,active,1.0,15,0,0.0,0,0.0,0.0,0.0,0.0,1.066666,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,SE,Plus,desktop,luna chat,broad,active,1.9,14,0,0.0,0,0.0,0.0,0.0,0.0,11.0,1.75,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,MX,Basic,desktop,luna chat,broad,active,1.9,13,0,0.0,0,0.0,0.0,0.0,0.0,4.153846,0.146067,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2025-10-01,2025-10-31,UTC,USD,IN,Basic,desktop,moosedesk,broad,active,1.2,13,1,0.076923,0,0.0,1.2,0.0,1.2,1.923076,1.0,,,,,
