App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Country Code,Shop Plan,Device Type,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,IN,Basic,desktop,tidio,broad,active,1.2,59,1,0.016949,0,0.0,1.2,0.0,1.2,2.118644,0.951612,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,IN,Basic,desktop,luna chat,broad,active,1.9,58,4,0.068965,2,0.5,1.9,3.8,7.6,3.844827,0.271028,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,IN,Basic,desktop,gorgias,broad,active,2.3,50,1,0.02,1,1.0,2.3,2.3,2.3,3.32,0.943396,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,PK,Basic,desktop,chaty,broad,active,1.0,42,3,0.071428,2,0.666666,1.0,1.5,3.0,1.142857,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,IN,Basic,desktop,chaty,broad,active,1.0,29,0,0.0,0,0.0,0.0,0.0,0.0,1.689655,1.0,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,US,Grow,desktop,gorgias,broad,active,2.3,29,0,0.0,0,0.0,0.0,0.0,0.0,3.655172,0.42647,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,US,Basic,desktop,tidio,broad,active,1.2,25,1,0.04,0,0.0,1.2,0.0,1.2,4.16,0.181159,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,US,Basic,desktop,gorgias,broad,active,2.3,25,1,0.04,0,0.0,2.3,0.0,2.3,3.56,0.324675,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,PK,Basic,desktop,luna chat,broad,active,1.9,24,0,0.0,0,0.0,0.0,0.0,0.0,3.583333,0.133333,,,,,
Chatty AI Chatbot & Live Chat,Chatty - Competitor - Broad | 20241210,2026-01-01,2026-01-31,UTC,USD,FR,Basic,desktop,lunachat,broad,active,0.8,22,3,0.136363,2,0.666666,0.799999,1.2,2.4,2.454545,0.846153,,,,,
